,atom_num,mean_weight
0,0,-0.07755851745605469
1,1,-0.1452639251947403
2,2,-0.19653508067131042
3,3,-0.19756880402565002
4,4,-0.18927976489067078
5,5,-0.20513619482517242
6,6,-0.20718349516391754
7,7,-0.19110141694545746
8,8,-0.1625860184431076
9,9,-0.16864655911922455
10,10,-0.1832803636789322
11,11,-0.09708715975284576
12,12,-0.09708715975284576
13,13,-0.24398961663246155
14,14,-0.2474483847618103
15,15,-0.2731829285621643
16,16,-0.27883920073509216
17,17,-0.25432947278022766
18,18,-0.18546824157238007
19,19,-0.2086993157863617
20,20,-0.3024098575115204
21,21,-0.27869713306427
22,22,-0.2928144931793213
23,23,-0.2955184876918793
24,24,-0.2928144335746765
25,25,-0.27869710326194763
26,26,-0.14489948749542236
27,27,-0.1640634834766388
28,28,-0.1230267882347107
29,29,-0.12431760877370834
30,30,-0.10556238889694214
31,31,-0.09037448465824127
32,32,-0.09816718846559525
33,33,-0.09348167479038239
