,atom_num,mean_weight
0,0,0.028990568593144417
1,1,0.03764161840081215
2,2,-0.016068682074546814
3,3,-0.004885301925241947
4,4,0.03461229428648949
5,5,0.016592560335993767
6,6,0.028868813067674637
7,7,0.028464525938034058
8,8,-0.008710755035281181
9,9,-0.05337688699364662
10,10,-0.08878786116838455
11,11,-0.12174877524375916
12,12,-0.12174876034259796
13,13,-0.08878784626722336
14,14,0.028292592614889145
15,15,0.052625976502895355
16,16,-0.008640840649604797
17,17,-0.07864676415920258
18,18,-0.12800799310207367
19,19,-0.13709881901741028
20,20,-0.10645791888237
21,21,-0.03847670555114746
22,22,-0.004633115604519844
23,23,-0.14445903897285461
24,24,-0.09113836288452148
25,25,-0.16275520622730255
26,26,-0.16736054420471191
27,27,-0.1196855753660202
28,28,-0.0646919533610344
29,29,-0.04447582736611366
30,30,-0.19058695435523987
31,31,-0.208746999502182
32,32,-0.19276466965675354
33,33,-0.19014792144298553
34,34,-0.12356270104646683
35,35,0.00869931560009718
36,36,0.00660111615434289
37,37,0.028990570455789566
