,atom_num,mean_weight
0,0,-0.1515122503042221
1,1,-0.19923914968967438
2,2,-0.17427197098731995
3,3,-0.14912734925746918
4,4,-0.13458922505378723
5,5,-0.14950741827487946
6,6,-0.07731229066848755
7,7,-0.07426024973392487
8,8,-0.027894049882888794
9,9,-0.10470288246870041
10,10,-0.1592935472726822
11,11,-0.09447458386421204
12,12,-0.20048271119594574
13,13,-0.21973975002765656
14,14,-0.24129140377044678
15,15,-0.23901911079883575
16,16,-0.2106795310974121
17,17,-0.1994117796421051
18,18,-0.16407765448093414
19,19,-0.09446859359741211
20,20,-0.0944686084985733
21,21,-0.1417093575000763
22,22,-0.09880132973194122
