,atom_num,mean_weight
0,0,-0.3839985132217407
1,1,-0.47987452149391174
2,2,-0.44720062613487244
3,3,-0.41917380690574646
4,4,-0.40288257598876953
5,5,-0.39589017629623413
6,6,-0.38974249362945557
7,7,-0.38574546575546265
8,8,-0.3886926770210266
9,9,-0.39574092626571655
10,10,-0.4075999855995178
11,11,-0.4182112216949463
12,12,-0.4163855314254761
13,13,-0.3928106427192688
14,14,-0.34745949506759644
15,15,-0.28183409571647644
16,16,-0.21775534749031067
17,17,-0.19073405861854553
18,18,-0.11723069101572037
19,19,-0.16810965538024902
20,20,-0.1665765345096588
21,21,-0.1413714438676834
