,atom_num,mean_weight
0,0,-0.2831000089645386
1,1,-0.3717540502548218
2,2,-0.2852104604244232
3,3,-0.22497312724590302
4,4,-0.21360619366168976
5,5,-0.23846475780010223
6,6,-0.28187692165374756
7,7,-0.20185686647891998
8,8,-0.09713252633810043
9,9,-0.07652723789215088
10,10,-0.08379749208688736
11,11,-0.13588684797286987
12,12,-0.09375116229057312
13,13,-0.2617838382720947
14,14,-0.25530576705932617
15,15,-0.2688474655151367
16,16,-0.2757330536842346
17,17,-0.26884743571281433
18,18,-0.25530576705932617
