,atom_num,mean_weight
0,0,-0.08179870992898941
1,1,-0.11094256490468979
2,2,-0.1586189568042755
3,3,-0.17783494293689728
4,4,-0.1908806413412094
5,5,-0.1914759874343872
6,6,-0.15410126745700836
7,7,-0.14137804508209229
8,8,-0.0879044160246849
9,9,-0.06826362013816833
10,10,-0.09971992671489716
11,11,-0.06488247960805893
12,12,-0.03187783062458038
13,13,-0.0032605715095996857
14,14,-0.05209210515022278
15,15,-0.11455915868282318
16,16,-0.04912009835243225
17,17,-0.010960305109620094
18,18,-0.03743598610162735
19,19,-0.029409129172563553
20,20,-0.025629471987485886
21,21,0.004522579722106457
22,22,0.0094142472371459
