,atom_num,mean_weight
0,0,-0.08394192159175873
1,1,-0.11146733164787292
2,2,-0.17486022412776947
3,3,-0.19507215917110443
4,4,-0.25505489110946655
5,5,-0.32861387729644775
6,6,-0.23413437604904175
7,7,-0.167494997382164
8,8,-0.12057533860206604
9,9,-0.050231464207172394
10,10,-0.1220349445939064
11,11,-0.17790210247039795
12,12,-0.2178521454334259
13,13,-0.2797333896160126
14,14,-0.23766718804836273
15,15,-0.2188253551721573
16,16,-0.22309307754039764
17,17,-0.2188253104686737
18,18,-0.23766720294952393
19,19,-0.17473368346691132
20,20,-0.1081589013338089
21,21,-0.10815504193305969
22,22,-0.25760337710380554
