,atom_num,mean_weight
0,0,-0.24199619889259338
1,1,-0.3338460624217987
2,2,-0.30419474840164185
3,3,-0.35997316241264343
4,4,-0.28504350781440735
5,5,-0.3031359910964966
6,6,-0.4245677590370178
7,7,-0.38535362482070923
8,8,-0.4448912441730499
9,9,-0.3153076767921448
10,10,-0.3135085999965668
11,11,-0.16546054184436798
12,12,-0.12363922595977783
13,13,-0.18538987636566162
14,14,-0.11170040816068649
15,15,-0.11760254204273224
16,16,-0.06557010859251022
17,17,-0.335174024105072
18,18,-0.21477678418159485
19,19,-0.21477679908275604
20,20,-0.21477678418159485
21,21,-0.24199621379375458
