,atom_num,mean_weight
0,0,-0.3452150523662567
1,1,-0.4083300232887268
2,2,-0.31180498003959656
3,3,-0.19157297909259796
4,4,-0.0802425667643547
5,5,-0.040931299328804016
6,6,0.006467084400355816
7,7,-0.11625080555677414
8,8,-0.1048862487077713
9,9,-0.037560030817985535
10,10,0.008243762888014317
11,11,-0.1775088608264923
12,12,-0.16396547853946686
13,13,-0.14205151796340942
14,14,-0.131021186709404
15,15,-0.14205151796340942
16,16,-0.16396546363830566
17,17,-0.06809309124946594
18,18,-0.22492383420467377
19,19,-0.23159551620483398
20,20,-0.24453243613243103
21,21,-0.2507311701774597
22,22,-0.24453246593475342
23,23,-0.23159553110599518
