,atom_num,mean_weight
0,0,-0.12080753594636917
1,1,-0.1603795886039734
2,2,-0.19590066373348236
3,3,-0.18264280259609222
4,4,-0.223288431763649
5,5,-0.20200778543949127
6,6,-0.19753532111644745
7,7,-0.21842090785503387
8,8,-0.21006247401237488
9,9,-0.16901780664920807
10,10,-0.19659392535686493
11,11,-0.2090911567211151
12,12,-0.18563567101955414
13,13,-0.18563567101955414
14,14,-0.22480429708957672
15,15,-0.22201678156852722
16,16,-0.23636700212955475
17,17,-0.22260497510433197
18,18,-0.21550899744033813
19,19,-0.15065768361091614
20,20,-0.1486607789993286
21,21,-0.12582583725452423
22,22,-0.12438557296991348
23,23,-0.1225929707288742
24,24,-0.11763732880353928
25,25,-0.18100695312023163
