,atom_num,mean_weight
0,0,-0.06936440616846085
1,1,-0.12386921793222427
2,2,-0.1093677207827568
3,3,-0.14942388236522675
4,4,-0.20088054239749908
5,5,-0.2450658231973648
6,6,-0.18809787929058075
7,7,-0.15004050731658936
8,8,-0.12157618254423141
9,9,-0.23405694961547852
10,10,-0.21345753967761993
11,11,-0.210563063621521
12,12,-0.1873593032360077
13,13,-0.1590217500925064
14,14,-0.19122087955474854
15,15,-0.1727844476699829
16,16,-0.170668363571167
17,17,-0.16384270787239075
18,18,-0.21731412410736084
19,19,-0.09145081788301468
20,20,-0.1370932012796402
21,21,-0.13739120960235596
22,22,-0.16162912547588348
23,23,-0.14879848062992096
24,24,-0.17273417115211487
25,25,-0.1862877607345581
26,26,-0.17321456968784332
