,atom_num,mean_weight
0,0,-0.17582276463508606
1,1,-0.2416539043188095
2,2,-0.19202101230621338
3,3,-0.20539480447769165
4,4,-0.17025527358055115
5,5,-0.17037039995193481
6,6,-0.18822327256202698
7,7,-0.21046964824199677
8,8,-0.1812199503183365
9,9,-0.17527319490909576
10,10,-0.19157108664512634
11,11,-0.17527318000793457
12,12,-0.1812199205160141
13,13,-0.16847661137580872
14,14,-0.13525676727294922
15,15,-0.17603382468223572
16,16,-0.1656922847032547
17,17,-0.17955553531646729
18,18,-0.2248416543006897
19,19,-0.17453736066818237
20,20,-0.18456749618053436
21,21,-0.15012682974338531
22,22,-0.22256913781166077
23,23,-0.1804230660200119
