,atom_num,mean_weight
0,0,-0.1480882465839386
1,1,-0.22469541430473328
2,2,-0.20572856068611145
3,3,-0.20725955069065094
4,4,-0.23311083018779755
5,5,-0.20870137214660645
6,6,-0.20054715871810913
7,7,-0.20618534088134766
8,8,-0.28358638286590576
9,9,-0.27011173963546753
10,10,-0.2677955627441406
11,11,-0.2921227216720581
12,12,-0.2864142060279846
13,13,-0.1798868328332901
14,14,-0.14735379815101624
15,15,-0.15028001368045807
16,16,-0.18752659857273102
17,17,-0.18802410364151
18,18,-0.1513286679983139
19,19,-0.21239100396633148
20,20,-0.14552289247512817
21,21,-0.20610901713371277
22,22,-0.2616499364376068
23,23,-0.19395732879638672
24,24,-0.1957685947418213
