,atom_num,mean_weight
0,0,-0.15464429557323456
1,1,-0.2301848828792572
2,2,-0.15464429557323456
3,3,-0.2457670122385025
4,4,-0.14907340705394745
5,5,-0.14893238246440887
6,6,-0.1865272969007492
7,7,-0.1478726863861084
8,8,-0.13747139275074005
9,9,-0.1423826962709427
10,10,-0.13747140765190125
11,11,-0.1478726714849472
12,12,-0.1314498335123062
13,13,-0.06651333719491959
14,14,-0.0653681680560112
15,15,-0.14243227243423462
16,16,-0.22181688249111176
17,17,-0.19821669161319733
18,18,-0.16638487577438354
19,19,-0.14067737758159637
20,20,-0.16420358419418335
21,21,-0.24245351552963257
22,22,-0.15479911863803864
23,23,-0.15479913353919983
24,24,-0.16420355439186096
25,25,-0.14067736268043518
26,26,-0.22898462414741516
27,27,-0.15079492330551147
28,28,-0.22966621816158295
29,29,-0.25091448426246643
30,30,-0.2406432330608368
