,atom_num,mean_weight
0,0,-0.09246744960546494
1,1,-0.15227024257183075
2,2,-0.1516493856906891
3,3,-0.1020500510931015
4,4,-0.13180291652679443
5,5,-0.13942283391952515
6,6,-0.17588619887828827
7,7,-0.16241911053657532
8,8,-0.19907547533512115
9,9,-0.1346982717514038
10,10,-0.12383528053760529
11,11,-0.07888804376125336
12,12,-0.1308492124080658
13,13,-0.0943458080291748
14,14,-0.14010846614837646
15,15,-0.07496894896030426
16,16,-0.07382377982139587
17,17,-0.19492387771606445
18,18,-0.20057842135429382
19,19,-0.22525079548358917
20,20,-0.22690151631832123
21,21,-0.20379680395126343
22,22,-0.1890561878681183
23,23,-0.19465434551239014
24,24,-0.22206920385360718
25,25,-0.2323799729347229
26,26,-0.2220691740512848
27,27,-0.19465437531471252
28,28,-0.2024395763874054
29,29,-0.1955311894416809
30,30,-0.1858750879764557
